tiempo_ms,Vm_R_mV,Vm_Q_mV,Delta_mV
8.00000000000008,-68.24189581686873,-68.24189581686873,0.0
8.025000000000079,-68.23827112944716,-68.23827112944716,0.0
8.050000000000077,-68.23465375477238,-68.23465375477238,0.0
8.075000000000076,-68.23104368046681,-68.23104368046681,0.0
8.100000000000074,-68.22744089416652,-68.22744089416652,0.0
8.125000000000073,-68.22384538352121,-68.22384538352121,0.0
8.150000000000071,-68.22025713619415,-68.22025713619415,0.0
8.17500000000007,-68.2166761398622,-68.2166761398622,0.0
8.200000000000069,-68.21310238221572,-68.21310238221572,0.0
8.225000000000067,-68.20953585095859,-68.20953585095859,0.0
8.250000000000066,-68.20597653380813,-68.20597653380813,0.0
8.275000000000064,-68.20242441849513,-68.20242441849513,0.0
8.300000000000063,-68.1988794927638,-68.1988794927638,0.0
8.325000000000061,-68.19534174437175,-68.19534174437175,0.0
8.35000000000006,-68.19181116108996,-68.19181116108996,0.0
8.375000000000059,-68.18828773070278,-68.18828773070278,0.0
8.400000000000057,-68.1847714410079,-68.1847714410079,0.0
8.425000000000056,-68.1812622798163,-68.1812622798163,0.0
8.450000000000054,-68.17776023495227,-68.17776023495227,0.0
8.475000000000053,-68.17426529425342,-68.17426529425342,0.0
8.500000000000052,-68.17077744557058,-68.17077744557058,0.0
8.52500000000005,-68.16729667676786,-68.16729667676786,0.0
8.550000000000049,-68.1638229757226,-68.1638229757226,0.0
8.575000000000047,-68.16035633032536,-68.16035633032536,0.0
8.600000000000046,-68.15689672847992,-68.15689672847992,0.0
8.625000000000044,-68.15344415810326,-68.15344415810326,0.0
8.650000000000043,-68.14999860712555,-68.14999860712555,0.0
8.675000000000042,-68.14656006349016,-68.14656006349016,0.0
8.70000000000004,-68.14312851515358,-68.14312851515358,0.0
8.725000000000039,-68.1397039500855,-68.1397039500855,0.0
8.750000000000037,-68.13628635626877,-68.13628635626877,0.0
8.775000000000036,-68.13287572169936,-68.13287572169936,0.0
8.800000000000034,-68.12947203438641,-68.12947203438641,0.0
8.825000000000033,-68.12607528235215,-68.12607528235215,0.0
8.850000000000032,-68.12268545363196,-68.12268545363196,0.0
8.87500000000003,-68.11930253627436,-68.11930253627436,0.0
8.900000000000029,-68.11592651834096,-68.11592651834096,0.0
8.925000000000027,-68.11255738790648,-68.11255738790648,0.0
8.950000000000026,-68.10919513305878,-68.10919513305878,0.0
8.975000000000025,-68.10583974189878,-68.10583974189878,0.0
9.000000000000023,-68.10249120254055,-68.10249120254055,0.0
9.025000000000022,-68.09914950311124,-68.09914950311124,0.0
9.05000000000002,-68.09581463175107,-68.09581463175107,0.0
9.075000000000019,-68.09248657661341,-68.09248657661341,0.0
9.100000000000017,-68.08916532586468,-68.08916532586468,0.0
9.125000000000016,-68.08585086768443,-68.08585086768443,0.0
9.150000000000015,-68.08254319026527,-68.08254319026527,0.0
9.175000000000013,-68.07924228181294,-68.07924228181294,0.0
9.200000000000012,-68.07594813054625,-68.07594813054625,0.0
9.22500000000001,-68.0726607246971,-68.0726607246971,0.0
9.250000000000009,-68.06938005251051,-68.06938005251051,0.0
9.275000000000007,-68.06610610224458,-68.06610610224458,0.0
9.300000000000006,-68.0628388621705,-68.0628388621705,0.0
9.325000000000005,-68.05957832057258,-68.05957832057258,0.0
9.350000000000003,-68.05632446574825,-68.05632446574825,0.0
9.375000000000002,-68.05307728600798,-68.05307728600798,0.0
9.4,-68.0498367696754,-68.0498367696754,0.0
9.424999999999999,-68.04660290508721,-68.04660290508721,0.0
9.449999999999998,-68.04337568059329,-68.04337568059329,0.0
9.474999999999996,-68.04015508455655,-68.04015508455655,0.0
9.499999999999995,-68.03694110535307,-68.03694110535307,0.0
9.524999999999993,-68.03373373137202,-68.03373373137202,0.0
9.549999999999992,-68.03053295101574,-68.03053295101574,0.0
9.57499999999999,-68.02733875269968,-68.02733875269968,0.0
9.599999999999989,-68.02415112485238,-68.02415112485238,0.0
9.624999999999988,-68.02097005591558,-68.02097005591558,0.0
9.649999999999986,-68.01779553434413,-68.01779553434413,0.0
9.674999999999985,-68.01462754860601,-68.01462754860601,0.0
9.699999999999983,-68.0114660871824,-68.0114660871824,0.0
9.724999999999982,-68.00831113856758,-68.00831113856758,0.0
9.74999999999998,-68.00516269126902,-68.00516269126902,0.0
9.774999999999979,-68.00202073380734,-68.00202073380734,0.0
9.799999999999978,-67.99888525471636,-67.99888525471636,0.0
9.824999999999976,-67.9957559720136,-67.9957559720136,0.0
9.849999999999975,-67.99263250633174,-67.99263250633174,0.0
9.874999999999973,-67.98951513070371,-67.98951513070371,0.0
9.899999999999972,-67.98640398080433,-67.98640398080433,0.0
9.92499999999997,-67.98329911682669,-67.98329911682669,0.0
9.949999999999969,-67.98020056344072,-67.98020056344072,0.0
9.974999999999968,-67.97710832842766,-67.97710832842766,0.0
9.999999999999966,-67.97402241129792,-67.97402241129792,0.0
10.024999999999965,-67.97094280732813,-67.97094280732813,0.0
10.049999999999963,-67.96786950949549,-67.96786950949549,0.0
10.074999999999962,-67.9648025094377,-67.9648025094377,0.0
10.09999999999996,-67.9617417979542,-67.9617417979542,0.0
10.12499999999996,-67.9586873652861,-67.9586873652861,0.0
10.149999999999958,-67.95563920128492,-67.95563920128492,0.0
10.174999999999956,-67.95259729552254,-67.95259729552254,0.0
10.199999999999955,-67.94956163736727,-67.94956163736727,0.0
10.224999999999953,-67.94653221603944,-67.94653221603944,0.0
10.249999999999952,-67.94350902065297,-67.94350902065297,0.0
10.27499999999995,-67.94049204024711,-67.94049204024711,0.0
10.29999999999995,-67.93748126381098,-67.93748126381098,0.0
10.324999999999948,-67.93447668030245,-67.93447668030245,0.0
10.349999999999946,-67.93147827866265,-67.93147827866265,0.0
10.374999999999945,-67.92848604782708,-67.92848604782708,0.0
10.399999999999944,-67.92549997673407,-67.92549997673407,0.0
